source,source_id,name,country,city,category,latitude,longitude,rating,price_level,reviews_count,embedding_text,attributes,raw,fetched_at
osm,osm:node/4712948976,San Diego,Romania,Măgurele,cafe,44.3634016,25.9855995,,,,,"{""addr:city"":""Măgurele"",""addr:housenumber"":""40"",""addr:street"":""Strada Uranus"",""amenity"":""cafe"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""San Diego"",""outdoor_seating"":""no"",""smoking"":""no"",""formatted_address"":""Strada Uranus 40, Măgurele"",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":2,""timestamp"":""2018-09-26T18:19:12Z"",""changeset"":62955109,""uid"":323389,""user"":""Michael_H""}}","{""type"":""node"",""id"":4712948976,""lat"":44.3634016,""lon"":25.9855995,""timestamp"":""2018-09-26T18:19:12Z"",""version"":2,""changeset"":62955109,""user"":""Michael_H"",""uid"":323389,""tags"":{""addr:city"":""Măgurele"",""addr:housenumber"":""40"",""addr:street"":""Strada Uranus"",""amenity"":""cafe"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""San Diego"",""outdoor_seating"":""no"",""smoking"":""no""}}",2026-05-30 08:46:18.442513+00:00
osm,osm:node/10305067098,5 to go,Romania,Bucharest,cafe,44.3492302,26.0314492,,,,,"{""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""takeaway"":""yes"",""formatted_address"":"""",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":2,""timestamp"":""2025-05-19T13:57:13Z"",""changeset"":166478461,""uid"":69259,""user"":""DnaX""}}","{""type"":""node"",""id"":10305067098,""lat"":44.3492302,""lon"":26.0314492,""timestamp"":""2025-05-19T13:57:13Z"",""version"":2,""changeset"":166478461,""user"":""DnaX"",""uid"":69259,""tags"":{""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""takeaway"":""yes""}}",2026-05-30 08:46:18.442513+00:00
osm,osm:node/12337824021,5 to go,Romania,Bucharest,cafe,44.3608532,26.1230484,,,,,"{""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""takeaway"":""yes"",""formatted_address"":"""",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":1,""timestamp"":""2024-11-13T19:41:46Z"",""changeset"":159105006,""uid"":69259,""user"":""DnaX""}}","{""type"":""node"",""id"":12337824021,""lat"":44.3608532,""lon"":26.1230484,""timestamp"":""2024-11-13T19:41:46Z"",""version"":1,""changeset"":159105006,""user"":""DnaX"",""uid"":69259,""tags"":{""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""takeaway"":""yes""}}",2026-05-30 08:46:18.442513+00:00
osm,osm:node/11368746671,5 to go,RO,București,cafe,44.3614008,26.1367567,,,,,"{""addr:city"":""București"",""addr:country"":""RO"",""addr:housenumber"":""14"",""addr:postcode"":""041838"",""addr:street"":""Strada Dumitru Brumărescu"",""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""opening_hours"":""Mo-Fr 07:00-19:00; Sa-Su 07:00-18:00"",""outdoor_seating"":""no"",""takeaway"":""yes"",""website"":""https://fivetogo.ro/"",""formatted_address"":""Strada Dumitru Brumărescu 14, 041838, București"",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":1,""timestamp"":""2023-11-22T14:43:59Z"",""changeset"":144329353,""uid"":9484321,""user"":""Dan 9""}}","{""type"":""node"",""id"":11368746671,""lat"":44.3614008,""lon"":26.1367567,""timestamp"":""2023-11-22T14:43:59Z"",""version"":1,""changeset"":144329353,""user"":""Dan 9"",""uid"":9484321,""tags"":{""addr:city"":""București"",""addr:country"":""RO"",""addr:housenumber"":""14"",""addr:postcode"":""041838"",""addr:street"":""Strada Dumitru Brumărescu"",""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""opening_hours"":""Mo-Fr 07:00-19:00; Sa-Su 07:00-18:00"",""outdoor_seating"":""no"",""takeaway"":""yes"",""website"":""https://fivetogo.ro/""}}",2026-05-30 08:46:18.442513+00:00
osm,osm:way/1204190633,Cafe Nar,Romania,Bucharest,cafe,44.3361565,26.0983353,,,,,"{""amenity"":""cafe"",""building"":""yes"",""name"":""Cafe Nar"",""opening_hours"":""24/7"",""outdoor_seating"":""yes"",""formatted_address"":"""",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":2,""timestamp"":""2025-03-23T16:17:04Z"",""changeset"":163995155,""uid"":22580100,""user"":""GitGood""}}","{""type"":""way"",""id"":1204190633,""timestamp"":""2025-03-23T16:17:04Z"",""version"":2,""changeset"":163995155,""user"":""GitGood"",""uid"":22580100,""center"":{""lat"":44.3361565,""lon"":26.0983353},""nodes"":[11161068686,11161068685,11161068687,11161068688,11161068686],""tags"":{""amenity"":""cafe"",""building"":""yes"",""name"":""Cafe Nar"",""opening_hours"":""24/7"",""outdoor_seating"":""yes""}}",2026-05-30 08:46:18.442513+00:00
osm,osm:node/12362055781,Amicii,Romania,Bucharest,cafe,44.3625505,26.1516452,,,,,"{""addr:housenumber"":""87"",""addr:street"":""Strada Biruinței"",""amenity"":""cafe"",""check_date"":""2025-11-22"",""contact:facebook"":""https://www.facebook.com/profile.php?id=61569361615131"",""contact:instagram"":""https://www.instagram.com/amicii.bucuresti/"",""cuisine"":""coffee_shop;dessert"",""name"":""Amicii"",""opening_date"":""2021-11-23"",""opening_hours"":""Tu-We off; Th-Fr 07:00-17:00; Sa-Su 08:00-18:00; Mo 07:00-17:00"",""wheelchair"":""yes"",""formatted_address"":""Strada Biruinței 87"",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":8,""timestamp"":""2025-11-27T17:08:02Z"",""changeset"":175207422,""uid"":69259,""user"":""DnaX""}}","{""type"":""node"",""id"":12362055781,""lat"":44.3625505,""lon"":26.1516452,""timestamp"":""2025-11-27T17:08:02Z"",""version"":8,""changeset"":175207422,""user"":""DnaX"",""uid"":69259,""tags"":{""addr:housenumber"":""87"",""addr:street"":""Strada Biruinței"",""amenity"":""cafe"",""check_date"":""2025-11-22"",""contact:facebook"":""https://www.facebook.com/profile.php?id=61569361615131"",""contact:instagram"":""https://www.instagram.com/amicii.bucuresti/"",""cuisine"":""coffee_shop;dessert"",""name"":""Amicii"",""opening_date"":""2021-11-23"",""opening_hours"":""Tu-We off; Th-Fr 07:00-17:00; Sa-Su 08:00-18:00; Mo 07:00-17:00"",""wheelchair"":""yes""}}",2026-05-30 08:46:18.442513+00:00
osm,osm:node/12425675488,5 to go,Romania,Bucharest,cafe,44.3633802,26.1520903,,,,,"{""addr:housenumber"":""81"",""addr:street"":""Strada Biruinței"",""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""check_date"":""2025-05-18"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""opening_hours"":""Mo-Fr 07:00-17:30; Sa-Su 09:00-18:00"",""takeaway"":""yes"",""wheelchair"":""yes"",""formatted_address"":""Strada Biruinței 81"",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":7,""timestamp"":""2026-04-22T07:47:47Z"",""changeset"":181659261,""uid"":290680,""user"":""wheelmap_visitor""}}","{""type"":""node"",""id"":12425675488,""lat"":44.3633802,""lon"":26.1520903,""timestamp"":""2026-04-22T07:47:47Z"",""version"":7,""changeset"":181659261,""user"":""wheelmap_visitor"",""uid"":290680,""tags"":{""addr:housenumber"":""81"",""addr:street"":""Strada Biruinței"",""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""check_date"":""2025-05-18"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""opening_hours"":""Mo-Fr 07:00-17:30; Sa-Su 09:00-18:00"",""takeaway"":""yes"",""wheelchair"":""yes""}}",2026-05-30 08:46:18.442513+00:00
osm,osm:node/13324148604,Jar House,Romania,Bucharest,cafe,44.3621156,26.1522249,,,,,"{""amenity"":""cafe"",""name"":""Jar House"",""wheelchair"":""yes"",""formatted_address"":"""",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":2,""timestamp"":""2026-04-22T07:42:53Z"",""changeset"":181659059,""uid"":290680,""user"":""wheelmap_visitor""}}","{""type"":""node"",""id"":13324148604,""lat"":44.3621156,""lon"":26.1522249,""timestamp"":""2026-04-22T07:42:53Z"",""version"":2,""changeset"":181659059,""user"":""wheelmap_visitor"",""uid"":290680,""tags"":{""amenity"":""cafe"",""name"":""Jar House"",""wheelchair"":""yes""}}",2026-05-30 08:46:18.442513+00:00
osm,osm:node/13723240041,5 to go,Romania,Bucharest,cafe,44.3599487,26.1529419,,,,,"{""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""takeaway"":""yes"",""wheelchair"":""yes"",""formatted_address"":"""",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":3,""timestamp"":""2026-04-22T07:50:55Z"",""changeset"":181659397,""uid"":290680,""user"":""wheelmap_visitor""}}","{""type"":""node"",""id"":13723240041,""lat"":44.3599487,""lon"":26.1529419,""timestamp"":""2026-04-22T07:50:55Z"",""version"":3,""changeset"":181659397,""user"":""wheelmap_visitor"",""uid"":290680,""tags"":{""amenity"":""cafe"",""brand"":""5 to go"",""brand:wikidata"":""Q115684369"",""cuisine"":""coffee_shop"",""name"":""5 to go"",""takeaway"":""yes"",""wheelchair"":""yes""}}",2026-05-30 08:46:18.442513+00:00
osm,osm:node/9105778597,JOY Coffee Shop,Romania,Bucharest,cafe,44.3672513,26.1545243,,,,,"{""addr:housenumber"":""31"",""addr:street"":""Strada Biruinței"",""amenity"":""cafe"",""name"":""JOY Coffee Shop"",""outdoor_seating"":""yes"",""wheelchair"":""limited"",""formatted_address"":""Strada Biruinței 31"",""primary_type"":""amenity=cafe"",""osm_meta"":{""version"":6,""timestamp"":""2023-11-08T09:16:50Z"",""changeset"":143770044,""uid"":69259,""user"":""DnaX""}}","{""type"":""node"",""id"":9105778597,""lat"":44.3672513,""lon"":26.1545243,""timestamp"":""2023-11-08T09:16:50Z"",""version"":6,""changeset"":143770044,""user"":""DnaX"",""uid"":69259,""tags"":{""addr:housenumber"":""31"",""addr:street"":""Strada Biruinței"",""amenity"":""cafe"",""name"":""JOY Coffee Shop"",""outdoor_seating"":""yes"",""wheelchair"":""limited""}}",2026-05-30 08:46:18.442513+00:00
