cid,formatted_address,short_formatted_address,phone,website_url,price_level,opening_hours
14593284683301693268,"Strada Stavropoleos 5, 030081 București",Strada Stavropoleos 5,+40726282373,https://www.carucubere.ro/meniu,2,"{""weekdayDescriptions"":[""Monday: 10:00 AM – 12:00 AM"",""Tuesday: 10:00 AM – 12:00 AM"",""Wednesday: 10:00 AM – 12:00 AM"",""Thursday: 10:00 AM – 12:00 AM"",""Friday: 10:00 AM – 12:00 AM"",""Saturday: 10:00 AM – 12:00 AM"",""Sunday: 10:00 AM – 12:00 AM""]}"
11230144116654031193,"Str. Liviu Rebreanu 4, 031749 București, Romania",Str. Liviu Rebreanu 4,+40757353014,https://www.parklake.ro/,,"{""weekdayDescriptions"":[""Monday: 10:00 AM – 10:00 PM"",""Tuesday: 10:00 AM – 10:00 PM"",""Wednesday: 10:00 AM – 10:00 PM"",""Thursday: 10:00 AM – 10:00 PM"",""Friday: 10:00 AM – 10:00 PM"",""Saturday: 10:00 AM – 10:00 PM"",""Sunday: 10:00 AM – 10:00 PM""]}"
15439727830362881762,"Str. Franceză 62-64, 030106 București",Str. Franceză 62-64,+40730188653,https://hanumanucrestaurant.ro/,2,"{""weekdayDescriptions"":[""Monday: 10:00 AM – 12:00 AM"",""Tuesday: 10:00 AM – 12:00 AM"",""Wednesday: 10:00 AM – 12:00 AM"",""Thursday: 10:00 AM – 12:00 AM"",""Friday: 10:00 AM – 2:00 AM"",""Saturday: 10:00 AM – 2:00 AM"",""Sunday: 10:00 AM – 12:00 AM""]}"
15213014763774357691,"Bulevardul Pierre de Coubertin 3-5, 021901 București, Romania",Bulevardul Pierre de Coubertin 3-5,+40757055727,https://megamallbucuresti.ro/,,"{""weekdayDescriptions"":[""Monday: 10:00 AM – 10:00 PM"",""Tuesday: 10:00 AM – 10:00 PM"",""Wednesday: 10:00 AM – 10:00 PM"",""Thursday: 10:00 AM – 10:00 PM"",""Friday: 10:00 AM – 10:00 PM"",""Saturday: 10:00 AM – 10:00 PM"",""Sunday: 10:00 AM – 10:00 PM""]}"
4510543212169282107,"Bulevardul Regina Elisabeta, București 030167, Romania",Bulevardul Regina Elisabeta,,,,
4588341681824889017,"Calea Floreasca 246B, București 014476, Romania",Calea Floreasca 246B,+40730246246,https://promenada.ro/,,"{""weekdayDescriptions"":[""Monday: 10:00 AM – 10:00 PM"",""Tuesday: 10:00 AM – 10:00 PM"",""Wednesday: 10:00 AM – 10:00 PM"",""Thursday: 10:00 AM – 10:00 PM"",""Friday: 10:00 AM – 10:00 PM"",""Saturday: 10:00 AM – 10:00 PM"",""Sunday: 10:00 AM – 10:00 PM""]}"
9279824186385889317,"Strada Lipscani 55, București 030033",Strada Lipscani 55,+40728828922,http://carturesti.ro/,,"{""weekdayDescriptions"":[""Monday: 10:00 AM – 10:00 PM"",""Tuesday: 10:00 AM – 10:00 PM"",""Wednesday: 10:00 AM – 10:00 PM"",""Thursday: 10:00 AM – 10:00 PM"",""Friday: 10:00 AM – 10:00 PM"",""Saturday: 10:00 AM – 10:00 PM"",""Sunday: 10:00 AM – 10:00 PM""]}"
1089081205062269331,"Strada Poenaru Bordea 2, 040092 București",Strada Poenaru Bordea 2,+40729400800,https://hanuberarilor.ro/,2,"{""weekdayDescriptions"":[""Monday: 8:00 AM – 12:00 AM"",""Tuesday: 8:00 AM – 12:00 AM"",""Wednesday: 8:00 AM – 12:00 AM"",""Thursday: 8:00 AM – 12:00 AM"",""Friday: 8:00 AM – 12:00 AM"",""Saturday: 8:00 AM – 12:00 AM"",""Sunday: 8:00 AM – 12:00 AM""]}"
8878600462848335966,"Bulevardul Dimitrie Cantemir 22A, 040237 București",Bulevardul Dimitrie Cantemir 22A,+40784740538,https://instagram.com/dristordonerkebap?r=nametag,,"{""weekdayDescriptions"":[""Monday: Open 24 hours"",""Tuesday: Open 24 hours"",""Wednesday: Open 24 hours"",""Thursday: Open 24 hours"",""Friday: Open 24 hours"",""Saturday: Open 24 hours"",""Sunday: Open 24 hours""]}"
16670375067031821535,"Str. Barbu Văcărescu 201, 077190 București",Str. Barbu Văcărescu 201,+40310056056,http://www.norbucharest.ro/,1,"{""weekdayDescriptions"":[""Monday: 12:00 PM – 12:00 AM"",""Tuesday: 12:00 PM – 12:00 AM"",""Wednesday: 12:00 PM – 12:00 AM"",""Thursday: 12:00 PM – 12:00 AM"",""Friday: 12:00 PM – 12:00 AM"",""Saturday: 10:00 AM – 12:00 AM"",""Sunday: 10:00 AM – 12:00 AM""]}"
