source_row_index,tripadvisor_id,tripadvisor_url,name,city,raw_cuisine_style,ranking,rating,price_range,number_of_reviews,raw_reviews,embedding_text,latitude,longitude
3853,d5529357,/Restaurant_Review-g187323-d5529357-Reviews-Pane_e_Vino-Berlin.html,Pane e Vino,Berlin,,3855.0,4.0,,17,"[['Cheapest and yummiest Italian food', 'Great'], ['10/31/2016', '10/29/2015']]",Restaurant name: Pane e Vino. City: Berlin. TripAdvisor rating: 4.0 out of 5. Number of reviews: 17. Review snippets: Cheapest and yummiest Italian food; Great.,52.552578,13.352883
552,d2546579,/Restaurant_Review-g187323-d2546579-Reviews-Berliner_Kartoffelhaus-Berlin.html,Berliner Kartoffelhaus,Berlin,"['German', 'European', 'Central European', 'Vegetarian Friendly']",553.0,3.5,$$ - $$$,277,"[['Fab apple strudel', 'Very nice place'], ['01/03/2018', '12/10/2017']]","Restaurant name: Berliner Kartoffelhaus. City: Berlin. Cuisine and dietary tags: German, European, Central European, Vegetarian Friendly. Price range: $$ - $$$. TripAdvisor rating: 3.5 out of 5. Number of reviews: 277. Review snippets: Fab apple strudel; Very nice place.",52.521532,13.394286
759,d2286551,/Restaurant_Review-g187323-d2286551-Reviews-Masaniello-Berlin.html,Masaniello,Berlin,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly']",760.0,4.0,$$ - $$$,315,"[['Italian gem in Kreuzberg', 'The best thing is that Zola is not far fro...'], ['12/30/2017', '06/19/2017']]","Restaurant name: Masaniello. City: Berlin. Cuisine and dietary tags: Italian, Pizza, Mediterranean, European, Vegetarian Friendly. Price range: $$ - $$$. TripAdvisor rating: 4.0 out of 5. Number of reviews: 315. Review snippets: Italian gem in Kreuzberg; The best thing is that Zola is not far fro....",52.531390,13.433574
2958,d5551817,/Restaurant_Review-g187323-d5551817-Reviews-Sapori_del_Sud-Berlin.html,Sapori del Sud,Berlin,,2960.0,5.0,,12,"[['home-style Italian food - tasty! One of th...', 'GREAT ITALIAN FOOD!'], ['07/29/2016', '04/20/2016']]",Restaurant name: Sapori del Sud. City: Berlin. TripAdvisor rating: 5.0 out of 5. Number of reviews: 12. Review snippets: home-style Italian food - tasty! One of th...; GREAT ITALIAN FOOD!.,52.494927,13.428268
1383,d2034969,/Restaurant_Review-g187323-d2034969-Reviews-Strassenbahndepot_Heiligensee-Berlin.html,Strassenbahndepot Heiligensee,Berlin,,1385.0,4.5,,46,"[['Old tram station', 'Absolutely fantastic food and five star se...'], ['08/16/2015', '03/01/2012']]",Restaurant name: Strassenbahndepot Heiligensee. City: Berlin. TripAdvisor rating: 4.5 out of 5. Number of reviews: 46. Review snippets: Old tram station; Absolutely fantastic food and five star se....,52.510019,13.404083
6317,d7000956,/Restaurant_Review-g187323-d7000956-Reviews-L_Arte_Bianca-Berlin.html,L'Arte Bianca,Berlin,,6319.0,2.5,,3,"[[], []]",Restaurant name: L'Arte Bianca. City: Berlin. TripAdvisor rating: 2.5 out of 5. Number of reviews: 3.,52.524906,13.332388
6480,d1358778,/Restaurant_Review-g187323-d1358778-Reviews-Dudenschanke-Berlin.html,Dudenschanke,Berlin,,,,,,,Restaurant name: Dudenschanke. City: Berlin.,52.517863,13.391141
3790,d7284022,/Restaurant_Review-g187323-d7284022-Reviews-Arisu_Sushi-Berlin.html,Arisu Sushi,Berlin,"['Japanese', 'Sushi', 'Asian', 'Vietnamese']",3792.0,4.5,$,8,"[['Great delivery sushi', 'Awesome Vegetarian Sushi & Asian Food'], ['05/11/2016', '05/11/2015']]","Restaurant name: Arisu Sushi. City: Berlin. Cuisine and dietary tags: Japanese, Sushi, Asian, Vietnamese. Price range: $. TripAdvisor rating: 4.5 out of 5. Number of reviews: 8. Review snippets: Great delivery sushi; Awesome Vegetarian Sushi & Asian Food.",52.521149,13.439732
1655,d7214030,/Restaurant_Review-g187323-d7214030-Reviews-Doner_Kebap_Linden_Grill-Berlin.html,Doner Kebap Linden Grill,Berlin,"['Fast Food', 'Turkish', 'Middle Eastern', 'Vegetarian Friendly', 'Halal']",1657.0,4.5,$,42,"[['Delicious - worth a visit!', 'Massive'], ['09/08/2017', '08/11/2017']]","Restaurant name: Doner Kebap Linden Grill. City: Berlin. Cuisine and dietary tags: Fast Food, Turkish, Middle Eastern, Vegetarian Friendly, Halal. Price range: $. TripAdvisor rating: 4.5 out of 5. Number of reviews: 42. Review snippets: Delicious - worth a visit!; Massive.",52.484065,13.462321
6758,d5826427,/Restaurant_Review-g187323-d5826427-Reviews-Mario_s_Patapizza-Berlin.html,Mario's Patapizza,Berlin,,,,,,,Restaurant name: Mario's Patapizza. City: Berlin.,52.480047,13.447460
