source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
0,10003583651993080880,location_0_10003583651993080880,0,True,,,
1,10004608666468214907,location_1_10004608666468214907,1,True,,,
2,10005805960616076113,location_2_10005805960616076113,2,True,,,
3,10006821318308583917,location_3_10006821318308583917,3,True,,,
4,10008423346367752387,location_4_10008423346367752387,4,True,,,
5,10009000718945218123,location_5_10009000718945218123,5,True,,,
6,10009768886222224142,location_6_10009768886222224142,6,True,,,
7,10011495148047197508,location_7_10011495148047197508,7,True,,,
8,10013996276798556964,location_8_10013996276798556964,8,True,,,
9,10014018019096173120,location_9_10014018019096173120,9,True,,,
10,10015572513968130224,location_10_10015572513968130224,10,True,,,
11,10018079025276783748,location_11_10018079025276783748,11,True,,,
12,10018918009980888043,location_12_10018918009980888043,12,True,,,
13,10020937264133767732,location_13_10020937264133767732,13,True,,,
14,10025016533893159046,location_14_10025016533893159046,14,True,,,
15,10027384592122843799,location_15_10027384592122843799,15,True,,,
16,10028424995569525530,location_16_10028424995569525530,16,True,,,
17,10031287182173446612,location_17_10031287182173446612,17,True,,,
18,10031451402263435216,location_18_10031451402263435216,18,True,,,
19,10035064399893645692,location_19_10035064399893645692,19,True,,,
20,10036363923581247228,location_20_10036363923581247228,20,True,,,
21,10039176725101377705,location_21_10039176725101377705,21,True,,,
22,10039533104628781535,location_22_10039533104628781535,22,True,,,
23,10040561722196699172,location_23_10040561722196699172,23,True,,,
24,10040834878732250133,location_24_10040834878732250133,24,True,,,
25,10041173435943460379,location_25_10041173435943460379,25,True,,,
26,10041275879185901332,location_26_10041275879185901332,26,True,,,
27,1004248153072138668,location_27_1004248153072138668,27,True,,,
28,10043236507144404966,location_28_10043236507144404966,28,True,,,
29,10045409968137258125,location_29_10045409968137258125,29,True,,,
30,10049218716415462777,location_30_10049218716415462777,30,True,,,
31,1005051950881967952,location_31_1005051950881967952,31,True,,,
32,1005150174791382407,location_32_1005150174791382407,32,True,,,
33,10053177346689123939,location_33_10053177346689123939,33,True,,,
34,1005494573649806880,location_34_1005494573649806880,34,True,,,
35,10055954475851320158,location_35_10055954475851320158,35,True,,,
36,10058157805088549016,location_36_10058157805088549016,36,True,,,
37,10059248205818202197,location_37_10059248205818202197,37,True,,,
38,1005927808551191321,location_38_1005927808551191321,38,True,,,
39,10059369492204174400,location_39_10059369492204174400,39,True,,,
40,10060749704664936759,location_40_10060749704664936759,40,True,,,
41,10066187768921798512,location_41_10066187768921798512,41,True,,,
42,10066264356952619995,location_42_10066264356952619995,42,True,,,
43,10066954878783854656,location_43_10066954878783854656,43,True,,,
44,1006717962124273583,location_44_1006717962124273583,44,True,,,
45,10067511909970376555,location_45_10067511909970376555,45,True,,,
46,10067752897146885132,location_46_10067752897146885132,46,True,,,
47,1006859454917429233,location_47_1006859454917429233,47,True,,,
48,10068763633665861854,location_48_10068763633665861854,48,True,,,
49,1007017587704863274,location_49_1007017587704863274,49,True,,,
50,10070300131625472767,location_50_10070300131625472767,50,True,,,
51,10070438880564619218,location_51_10070438880564619218,51,True,,,
52,10072949609991092630,location_52_10072949609991092630,52,True,,,
53,10074320188440322550,location_53_10074320188440322550,53,True,,,
54,10074527456636244392,location_54_10074527456636244392,54,True,,,
55,1008387308620863524,location_55_1008387308620863524,55,True,,,
56,10087067044542218628,location_56_10087067044542218628,56,True,,,
57,10088182885821367608,location_57_10088182885821367608,57,True,,,
58,10090304532582808024,location_58_10090304532582808024,58,True,,,
59,1009865102917206669,location_59_1009865102917206669,59,True,,,
60,10099470969952365585,location_60_10099470969952365585,60,True,,,
61,10099759495053964094,location_61_10099759495053964094,61,True,,,
62,10100464005104076346,location_62_10100464005104076346,62,True,,,
63,10102784124041993733,location_63_10102784124041993733,63,True,,,
64,10103481082209843882,location_64_10103481082209843882,64,True,,,
65,10104975135964199651,location_65_10104975135964199651,65,True,,,
66,1010637559968091947,location_66_1010637559968091947,66,True,,,
67,10106677697736184767,location_67_10106677697736184767,67,True,,,
68,10108290999616029561,location_68_10108290999616029561,68,True,,,
69,10110146075112255785,location_69_10110146075112255785,69,True,,,
70,10111474923228021505,location_70_10111474923228021505,70,True,,,
